year,target,status,hasSource,hasDeck,sourceCount,deckCount,sourceLabels,deckNames
2005,Goat Control,imported,true,true,1,1,Existing app decklist,Goat Control
2005,Chaos Turbo,missing-source-and-deck,false,false,0,0,,
2005,Warrior Toolbox,missing-source-and-deck,false,false,0,0,,
2005,Reasoning Gate,missing-source-and-deck,false,false,0,0,,
2005,Burn,missing-source-and-deck,false,false,0,0,,
2006,Chaos Return,missing-source-and-deck,false,false,0,0,,
2006,Monarch,missing-source-and-deck,false,false,0,0,,
2006,Recruiter Chaos,missing-source-and-deck,false,false,0,0,,
2006,Gadget,missing-source-and-deck,false,false,0,0,,
2006,Bazoo Return,missing-source-and-deck,false,false,0,0,,
2007,Perfect Circle Monarch,source-registered,true,false,1,0,Format Library Perfect Circle Format,
2007,Demise OTK,missing-source-and-deck,false,false,0,0,,
2007,Gadget,missing-source-and-deck,false,false,0,0,,
2007,Zombie,missing-source-and-deck,false,false,0,0,,
2007,Crystal Beast,missing-source-and-deck,false,false,0,0,,
2008,TeleDAD,source-registered,true,false,1,0,SJC Detroit 2008 Top 16,
2008,Gladiator Beast,missing-source-and-deck,false,false,0,0,,
2008,Lightsworn,missing-source-and-deck,false,false,0,0,,
2008,Dark Armed Return,missing-source-and-deck,false,false,0,0,,
2008,Zombie Synchro,missing-source-and-deck,false,false,0,0,,
2009,Blackwing,source-registered,true,false,1,0,SJC Orlando 2009 Top 16 Decklists,
2009,Lightsworn,missing-source-and-deck,false,false,0,0,,
2009,Cat Synchro,missing-source-and-deck,false,false,0,0,,
2009,Gladiator Beast,missing-source-and-deck,false,false,0,0,,
2009,Twilight,missing-source-and-deck,false,false,0,0,,
2010,Blackwing,missing-source-and-deck,false,false,0,0,,
2010,X-Saber,source-registered,true,false,1,0,Konami YCS X-Saber Deck Profile,
2010,Frog Monarch,missing-source-and-deck,false,false,0,0,,
2010,Quickdraw Dandywarrior,missing-source-and-deck,false,false,0,0,,
2010,Infernity,missing-source-and-deck,false,false,0,0,,
2011,Plant Synchro,missing-source-and-deck,false,false,0,0,,
2011,Tengu Plant,missing-source-and-deck,false,false,0,0,,
2011,Agents,missing-source-and-deck,false,false,0,0,,
2011,Six Samurai,missing-source-and-deck,false,false,0,0,,
2011,Gravekeeper,missing-source-and-deck,false,false,0,0,,
2012,Wind-Up,missing-source-and-deck,false,false,0,0,,
2012,Dino Rabbit,missing-source-and-deck,false,false,0,0,,
2012,Inzektor,missing-source-and-deck,false,false,0,0,,
2012,Chaos Dragon,missing-source-and-deck,false,false,0,0,,
2012,Hero Beat,missing-source-and-deck,false,false,0,0,,
2013,Dragon Ruler,imported,true,true,1,2,Top 16 YCS Turin 2013,Dragon Ruler | Dragon Ruler 2013
