id,year,targetName,populationStatus,priority,sourceCount,deckCount,primarySearchQuery,googleSearch,yugiohTopDecksSearch,konamiCoverageSearch,formatLibrarySearch,ygoprodeckSearch
2005-burn,2005,Burn,missing-source-and-deck,1,0,0,2005 Burn yugioh decklist,https://www.google.com/search?q=2005%20Burn%20yugioh%20decklist,https://www.google.com/search?q=2005%20Burn%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2005%20Burn%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2005%20Burn%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2005%20Burn
2005-chaos-turbo,2005,Chaos Turbo,missing-source-and-deck,1,0,0,2005 Chaos Turbo yugioh decklist,https://www.google.com/search?q=2005%20Chaos%20Turbo%20yugioh%20decklist,https://www.google.com/search?q=2005%20Chaos%20Turbo%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2005%20Chaos%20Turbo%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2005%20Chaos%20Turbo%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2005%20Chaos%20Turbo
2005-reasoning-gate,2005,Reasoning Gate,missing-source-and-deck,1,0,0,2005 Reasoning Gate yugioh decklist,https://www.google.com/search?q=2005%20Reasoning%20Gate%20yugioh%20decklist,https://www.google.com/search?q=2005%20Reasoning%20Gate%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2005%20Reasoning%20Gate%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2005%20Reasoning%20Gate%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2005%20Reasoning%20Gate
2005-warrior-toolbox,2005,Warrior Toolbox,missing-source-and-deck,1,0,0,2005 Warrior Toolbox yugioh decklist,https://www.google.com/search?q=2005%20Warrior%20Toolbox%20yugioh%20decklist,https://www.google.com/search?q=2005%20Warrior%20Toolbox%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2005%20Warrior%20Toolbox%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2005%20Warrior%20Toolbox%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2005%20Warrior%20Toolbox
2006-bazoo-return,2006,Bazoo Return,missing-source-and-deck,1,0,0,2006 Bazoo Return yugioh decklist,https://www.google.com/search?q=2006%20Bazoo%20Return%20yugioh%20decklist,https://www.google.com/search?q=2006%20Bazoo%20Return%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2006%20Bazoo%20Return%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2006%20Bazoo%20Return%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2006%20Bazoo%20Return
2006-chaos-return,2006,Chaos Return,missing-source-and-deck,1,0,0,2006 Chaos Return yugioh decklist,https://www.google.com/search?q=2006%20Chaos%20Return%20yugioh%20decklist,https://www.google.com/search?q=2006%20Chaos%20Return%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2006%20Chaos%20Return%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2006%20Chaos%20Return%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2006%20Chaos%20Return
2006-gadget,2006,Gadget,missing-source-and-deck,1,0,0,2006 Gadget yugioh decklist,https://www.google.com/search?q=2006%20Gadget%20yugioh%20decklist,https://www.google.com/search?q=2006%20Gadget%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2006%20Gadget%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2006%20Gadget%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2006%20Gadget
2006-monarch,2006,Monarch,missing-source-and-deck,1,0,0,2006 Monarch yugioh decklist,https://www.google.com/search?q=2006%20Monarch%20yugioh%20decklist,https://www.google.com/search?q=2006%20Monarch%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2006%20Monarch%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2006%20Monarch%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2006%20Monarch
2006-recruiter-chaos,2006,Recruiter Chaos,missing-source-and-deck,1,0,0,2006 Recruiter Chaos yugioh decklist,https://www.google.com/search?q=2006%20Recruiter%20Chaos%20yugioh%20decklist,https://www.google.com/search?q=2006%20Recruiter%20Chaos%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2006%20Recruiter%20Chaos%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2006%20Recruiter%20Chaos%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2006%20Recruiter%20Chaos
2007-crystal-beast,2007,Crystal Beast,missing-source-and-deck,1,0,0,2007 Crystal Beast yugioh decklist,https://www.google.com/search?q=2007%20Crystal%20Beast%20yugioh%20decklist,https://www.google.com/search?q=2007%20Crystal%20Beast%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2007%20Crystal%20Beast%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2007%20Crystal%20Beast%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2007%20Crystal%20Beast
2007-demise-otk,2007,Demise OTK,missing-source-and-deck,1,0,0,2007 Demise OTK yugioh decklist,https://www.google.com/search?q=2007%20Demise%20OTK%20yugioh%20decklist,https://www.google.com/search?q=2007%20Demise%20OTK%20site%3Ayugiohtopdecks.org,https://www.google.com/search?q=2007%20Demise%20OTK%20site%3Ayugiohblog.konami.com,https://www.google.com/search?q=2007%20Demise%20OTK%20site%3Aformatlibrary.com,https://ygoprodeck.com/?s=2007%20Demise%20OTK
